iter	RMSE
0	4135.580417
1	4071.102404
2	4011.74166
3	3951.06305
4	3884.71198
5	3824.433234
6	3767.286484
7	3714.662668
8	3646.943827
9	3583.289158
10	3525.701703
11	3468.95265
12	3414.985657
13	3361.76123
14	3302.977385
15	3247.778555
16	3190.687132
17	3136.04364
18	3086.864169
19	3043.414787
20	2995.996997
21	2950.676595
22	2899.223811
23	2854.302682
24	2813.582587
25	2761.322772
26	2716.62771
27	2673.914885
28	2629.408682
29	2592.694155
30	2558.064145
31	2525.106347
32	2485.487311
33	2437.692757
34	2399.98376
35	2361.852517
36	2327.094734
37	2288.990756
38	2246.241661
39	2208.785042
40	2171.373428
41	2139.535096
42	2110.066467
43	2077.56375
44	2042.065801
45	2017.044645
46	1987.597564
47	1953.690274
48	1925.355091
49	1894.05933
50	1860.204343
51	1830.265644
52	1801.319492
53	1771.008554
54	1740.923353
55	1710.392014
56	1681.994107
57	1655.508915
58	1627.763641
59	1602.609299
60	1576.576752
61	1551.531532
62	1527.657364
63	1503.23129
64	1481.850181
65	1461.028956
66	1438.402841
67	1420.500637
68	1401.858183
69	1383.150676
70	1363.877668
71	1343.97821
72	1325.570576
73	1306.367382
74	1287.280567
75	1265.791258
76	1246.743096
77	1227.844349
78	1208.30088
79	1193.035576
80	1174.634108
81	1158.856117
82	1140.320476
83	1124.549164
84	1108.44525
85	1090.543269
86	1073.907329
87	1057.127837
88	1040.290702
89	1025.072806
90	1008.75484
91	994.330564
92	976.6428634
93	959.5900747
94	944.739696
95	928.9114502
96	914.5429188
97	901.4646562
98	891.121482
99	877.6576771
100	864.9917551
101	852.1680595
102	841.8652425
103	829.9614486
104	817.9646387
105	806.6328209
106	796.1371323
107	782.7566862
108	770.9419259
109	759.1868997
110	748.4051207
111	738.2466849
112	728.4103885
113	717.6526176
114	708.5758373
115	699.4753841
116	690.285407
117	680.9592422
118	671.4886189
119	662.0548171
120	653.6470754
121	644.2297573
122	635.8674316
123	628.7049985
124	621.9251615
125	613.3413562
126	605.8714724
127	598.1722878
128	590.605308
129	582.7534821
130	575.0131178
131	567.319557
132	559.7431267
133	551.4960092
134	544.48509
135	537.5158545
136	531.8239277
137	525.3710794
138	518.3427199
139	511.461687
140	505.021446
141	498.3057175
142	492.9582024
143	486.5009742
144	481.5555106
145	475.4603658
146	469.5049276
147	463.8591939
148	458.4733282
149	452.8974864
150	447.1433295
151	442.1781371
152	436.4673523
153	431.4400248
154	426.0583884
155	421.6008397
156	416.5916181
157	412.2145007
158	407.894371
159	403.2221074
160	399.3237093
161	394.5665154
162	390.6818323
163	386.5459077
164	382.7231157
165	378.9843456
166	374.8071281
167	370.3522222
168	365.9601451
169	361.9767398
170	358.6861618
171	354.77942
172	351.0869858
173	347.2832539
174	343.7038585
175	339.9518488
176	337.294657
177	334.0665177
178	330.5718662
179	327.5173462
180	323.983101
181	321.132438
182	317.9524995
183	314.790894
184	311.9367349
185	308.9097161
186	306.2441157
187	303.1863393
188	300.1184531
189	297.5391173
190	294.6229678
191	292.392839
192	289.3183274
193	286.7971005
194	284.1987934
195	281.9406695
196	279.1092199
197	276.4556263
198	273.8321029
199	271.0885337
200	268.6103057
201	266.351246
202	263.9976161
203	261.3021874
204	258.8526022
205	256.7345591
206	254.0451425
207	251.4173796
208	248.9570906
209	246.7651723
210	244.6847561
211	242.36743
212	240.3243118
213	238.0169723
214	236.0651663
215	234.0217291
216	232.2280292
217	229.9560169
218	228.1108377
219	226.4862831
220	224.2409857
221	222.2299936
222	220.2931382
223	218.2898452
224	216.5500233
225	214.8189485
226	212.6755907
227	211.0896884
228	209.3585017
229	207.4739784
230	205.9386547
231	204.2785455
232	202.5941033
233	201.0972816
234	199.631667
235	197.7022152
236	196.0953946
237	194.5055853
238	192.7329367
239	191.2242234
240	189.9275703
241	188.3692941
242	186.7660582
243	185.3851147
244	183.9794345
245	182.3313441
246	180.7868676
247	179.4920026
248	178.1839191
249	176.9062229
250	175.9088154
